Mã khách hàng,Tài khoản,Trạng thái xác minh,Pause date,Mã đơn vị tiền tệ,Spend (last 7 days),Spend(last 7 days) (Converted currency),Hồ sơ thanh toán,Người quản lý trực tiếp,Mã khách hàng của người quản lý trực tiếp,Ad disclosure name,Ad disclosure country,Verification type
198-375-8172,Chinh 25,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,70","US$0,70", --,MEME,977-828-5088, --, --, --
953-621-5076,US_USD K27,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC_U,231-275-4200, --, --, --
418-922-3478,Account_81_15:57,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,TOM,337-604-4931, --, --, --
409-019-5396,Account_6_09:14,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,DOGS 1,952-559-9586, --, --, --
948-645-1368,Account_13/11 Uyên 37z phá,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,60","US$0,60", --,CATS 1,910-147-0878, --, --, --
594-794-4599,Account_2_12:17,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"4,86","US$4,86", --,LYLY 5,910-455-2980, --, --, --
863-997-7545,Account_28_16:44,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,YES,390-291-6435, --, --, --
143-241-0995,Account_10_14:05,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LYLY 4,573-212-4458, --, --, --
297-719-5746,Account_21_14:57,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LYLY 5,910-455-2980, --, --, --
849-400-4893,AOE 0156,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC KITABAKA,604-575-0835, --, --, --
854-743-4129,Account_27_12:53,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,CAFE 1,290-302-7290, --, --, --
860-629-7368,Xuân Nguyệt 07,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,Tôi Yêu GG 7,948-882-5078, --, --, --
883-251-6492,X_281,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,HAM 4,872-539-0376, --, --, --
647-207-3568,Account_62_11:22,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,DOGS 1,952-559-9586, --, --, --
839-685-4021,Xuân - T11 - 79,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,03","US$0,03", --,CATS 3,672-444-7933, --, --, --
842-424-8127,Account_70_14:48,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,OK 4,334-925-1345, --, --, --
628-783-3141,us28_xuan55%_da24_2$,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"1,19","US$1,19", --,MCC_US_USD XTD 55% T11 03,392-194-2982, --, --, --
585-843-5935,Account_15/11 DA23,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,TIM 3,732-120-1972, --, --, --
375-161-5701,JP_USD_ Sung 37,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC_US_USD XTD 55% T11 03,392-194-2982, --, --, --
888-030-9358,Account_54_13:08,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,OK 9,588-173-4213, --, --, --
479-159-0252,Xuân - T11 - 96,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,05","US$0,05", --,CATS 3,672-444-7933, --, --, --
534-382-3550,14/11 Uyên 42z,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,03","US$0,03", --,CATS 4,697-575-0819, --, --, --
551-049-7592,phuc 26 - thuy,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LIE 232 Hùng + Phúc 60% tín mới,189-877-5696, --, --, --
942-437-6531,Account_15/11 DA7,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,TIM 3,732-120-1972, --, --, --
424-924-9927,Account_13/11 DA25,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,58","US$0,58", --,CATS,980-219-3341, --, --, --
697-458-2884,GAO Ồ 523,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC 50TK LUKE,135-972-2564, --, --, --
809-483-2272,Account_11_14:06,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LYLY 4,573-212-4458, --, --, --
798-557-9274,us28_xuan55%_da38_2$,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC_US_USD XTD 55% T11 03,392-194-2982, --, --, --
878-914-7615,Account_78_12:43 K2,Chưa bắt đầu – việc cần làm,"14 thg 12, 2024",USD,"0,00","US$0,00", --,LI 3,468-916-0549, --, --, --
148-746-5898,Account_30_15:05,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LIE 2,973-518-3905, --, --, --
361-111-5815,Account_87_15:03,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,PHUC XDT 60%,489-739-6170, --, --, --
376-793-3766,Account_17_14:31 K,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,21","US$0,21", --,LI 3,468-916-0549, --, --, --
292-964-8760,Xuân - T11 - 3,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,08","US$0,08", --,CATS 3,672-444-7933, --, --, --
284-113-0247,Account_29_15:33,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,CAFE 1,290-302-7290, --, --, --
425-064-8619,Account_27_16:43,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,YES,390-291-6435, --, --, --
896-560-3031,Account_15/11 DA3,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,TIM 3,732-120-1972, --, --, --
394-808-5929,Chinh 05,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"167,57","US$167,57", --,MEME,977-828-5088, --, --, --
169-366-4542,Account_3_15:36,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,CATS,980-219-3341, --, --, --
857-368-2049,Account_34_08:52,Chưa bắt đầu – việc cần làm,"14 thg 11, 2024",USD,"0,00","US$0,00", --,LIE 8 LUCKY,357-713-6860, --, --, --
845-042-5117,Account_21_12:50 - ghovi 13/11 - 9,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,22","US$0,22", --,OK,169-880-2531, --, --, --
952-009-6554,Account_18_14:20,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,OK 10,804-513-8546, --, --, --
398-164-3166,Vũ 19 36%,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"1,31","US$1,31", --,LIE 9 A.Tùng Mừng Em Chở Về,727-844-1244, --, --, --
672-752-9027,US_USD T,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,53","US$0,53", --,MCC_US_USD 10,117-344-8882, --, --, --
696-569-6133,xtd-39,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"32,08","US$32,08", --,BLUM 1,665-398-6627, --, --, --
720-029-7949,Trường LIE32_26,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LIE 32,560-644-8427, --, --, --
842-455-6425,14/11 Russia 39,Chưa bắt đầu – việc cần làm,"13 thg 11, 2024",USD,"0,00","US$0,00", --,MCC_US_USD XTD 55% T11 03,392-194-2982, --, --, --
108-635-2701,Account_13_12:30,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LYLY 5,910-455-2980, --, --, --
338-578-4703,Account_2_16:57,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,YES,390-291-6435, --, --, --
586-642-0484,Account_51_09:35,Chưa bắt đầu – việc cần làm,"15 thg 11, 2024",USD,"0,00","US$0,00", --,TIM 3,732-120-1972, --, --, --
232-331-3833,CORE I9,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC 48 TK 335,833-832-2725, --, --, --
240-540-6311,CSGO - 5,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC Hoàng,109-986-8652, --, --, --
920-051-9766,X_291,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,01","US$0,01", --,HAM 4,872-539-0376, --, --, --
672-407-9113,Account_11_14:54,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LIE 2,973-518-3905, --, --, --
500-278-8817,sao - 02,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,DOGS 1,952-559-9586, --, --, --
569-894-8280,Aspire 0012,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC BALAU,729-195-3348, --, --, --
776-974-5831,Account_19_09:01,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,CATS,980-219-3341, --, --, --
985-417-6605,CKTHU_32,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MAICO 2,363-948-0209, --, --, --
934-648-9584,Account_52_13:07,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,03","US$0,03", --,OK,169-880-2531, --, --, --
981-613-2966,Account_78_14:58,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,PHUC XDT 60%,489-739-6170, --, --, --
919-804-5813,Account_5_12:29,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,TOM 1,703-402-8666, --, --, --
935-735-9466,Account_71_14:55,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,BLUM 3,191-861-1701, --, --, --
495-100-4148,Account_18_15:27,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,OK 10,804-513-8546, --, --, --
394-874-5080,Account_95_15:04,Chưa bắt đầu – việc cần làm,"14 thg 11, 2024",USD,"0,00","US$0,00", --,PHUC XDT 60%-2,955-688-6195, --, --, --
636-830-8474,Account_32_08:51,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC 50 TK HOÀNG,187-719-3803, --, --, --
612-504-8768,Account_21_14:24,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,BLUM 3,191-861-1701, --, --, --
398-025-2986,Account_38_14:10 K,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,44","US$0,44", --,LYLY 1,606-596-8084, --, --, --
657-597-1062,Account_82_13:23,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,TOM,337-604-4931, --, --, --
593-028-2696,Account_7_14:42,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LYLY 6 Sher Lẻ,611-301-4793, --, --, --
105-724-7823,US_USD,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC_US_USD 1,374-402-1731, --, --, --
599-968-4817,Account_15_10:44,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,CAFE 3,227-345-1768, --, --, --
660-827-9974,Chinh (-5) 14/11 04 2$,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,OK 8,188-599-3543, --, --, --
900-203-3307,X_267,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,HAM 4,872-539-0376, --, --, --
978-263-3417,Xuan_Van 19 limit 15,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"1,39","US$1,39", --,TOM 2,308-484-1049, --, --, --
367-387-2500,JP_USD_ Sung 32,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC_US_USD XTD 55% T11 03,392-194-2982, --, --, --
365-250-5343,sao - 01,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,DOGS 1,952-559-9586, --, --, --
996-924-9445,Account_14_13:54,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LYLY 5,910-455-2980, --, --, --
535-297-6039,Xuan_Lanh 16,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,TOM 2,308-484-1049, --, --, --
191-067-1598,Account_68_15:51,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,OK 9,588-173-4213, --, --, --
764-358-6547,X_310,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,HAM 4,872-539-0376, --, --, --
744-847-2456,Account_75_14:56,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,PHUC XDT 60%,489-739-6170, --, --, --
587-298-2701,Trường Ham_022,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,77","US$0,77", --,HAM 3,733-726-6588, --, --, --
289-099-4198,Account_13/11 Uyên 10z phá sống,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,01","US$0,01", --,CATS 1,910-147-0878, --, --, --
631-601-5964,CK 60% SOI07 OK,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"100,22","US$100,22", --,MEME,977-828-5088, --, --, --
824-523-3643,Account_10_16:25,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,YES,390-291-6435, --, --, --
720-637-9747,Account_7_08:40,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,DOGS 1,952-559-9586, --, --, --
561-271-2684,Account_8_12:24,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LYLY 6 Sher Lẻ,611-301-4793, --, --, --
500-918-4591,Account_9_11:38,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LYLY 6 Sher Lẻ,611-301-4793, --, --, --
206-314-5945,B 05,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"1,16","US$1,16", --,HAM 1,690-343-2156, --, --, --
670-913-0427,CORE I9,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC 48 TK 335,833-832-2725, --, --, --
651-020-9886,JP_USD_ Sung 35,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC_US_USD XTD 55% T11 03,392-194-2982, --, --, --
730-629-3007,Account_65_20:20,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,Tôi Yêu GG 4 Phúc 60% XTĐ,407-989-0100, --, --, --
407-033-9468,Account_8_15:12,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,TOM,337-604-4931, --, --, --
849-262-9841,XCK-41,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,27","US$0,27", --,BLUM 2,601-828-1074, --, --, --
411-119-4676,Account_13/11 Uyên 48z,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,01","US$0,01", --,CATS 1,910-147-0878, --, --, --
786-414-7547,sao - 10,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,DOGS 1,952-559-9586, --, --, --
821-815-7290,Quan 67 (-5),Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,44","US$0,44", --,OK 8,188-599-3543, --, --, --
455-209-2545,X_295,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,HAM 4,872-539-0376, --, --, --
691-013-4337,Account_60_15:26,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,AIRDROP MCBEO4,621-456-3105, --, --, --
782-392-0286,Account_3_16:17,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,CATS,980-219-3341, --, --, --
363-677-7400,Account_34_16:14,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,AIRDROP MCBEO4,621-456-3105, --, --, --
233-804-3113,Account_7_09:15,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,DOGS 1,952-559-9586, --, --, --
514-434-5997,Account_13/11 Uyên 32z,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,CATS 1,910-147-0878, --, --, --
140-183-2713,Account_89_15:00,Chưa bắt đầu – việc cần làm,"13 thg 11, 2024",USD,"0,00","US$0,00", --,PHUC XDT 60%-2,955-688-6195, --, --, --
702-365-0549,Account_44_15:41,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,OK 5,383-127-7729, --, --, --
802-417-7096,Account_2_11:03,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"1,99","US$1,99", --,LYLY 1,606-596-8084, --, --, --
668-052-6764,Account_82_14:54,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,TOM,337-604-4931, --, --, --
313-538-7796,X_254,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,HAM 4,872-539-0376, --, --, --
421-886-5515,Account_48_13:04,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,OK 9,588-173-4213, --, --, --
171-090-8444,Account_18_09:22,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,CATS,980-219-3341, --, --, --
608-421-8148,Account_3_12:40,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,HAM 6,869-228-1401, --, --, --
797-681-8307,Account_22_14:34 K,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,21","US$0,21", --,LI 3,468-916-0549, --, --, --
434-226-3354,Account_59_11:20,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,DOGS 1,952-559-9586, --, --, --
112-321-8945,Account_68_11:56 K,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,33","US$0,33", --,LI 3,468-916-0549, --, --, --
329-790-1701,US_USD XTD Sáng 10,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"1,41","US$1,41", --,MCC_US_USD 3 Sáng 60% XTĐ,110-599-1119, --, --, --
551-942-3111,Thắng XTĐ VIP 7,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,87","US$0,87", --,MCC_US_USD XTD 55% T11 02,636-579-6691, --, --, --
428-516-9523,Account_18_15:17,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,CAFE 1,290-302-7290, --, --, --
952-712-5000,Account_71_17:09,Chưa bắt đầu – việc cần làm,"15 thg 11, 2024",USD,"0,00","US$0,00", --,MAICO 1,971-980-0129, --, --, --
120-581-1695,Account_14_10:44,Chưa bắt đầu – việc cần làm,"15 thg 11, 2024",USD,"0,00","US$0,00", --,ANTAY 1,252-804-6637, --, --, --
257-528-9107,Account_64_11:23,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,DOGS 1,952-559-9586, --, --, --
157-446-7509,Kính Vạn Bông 1,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC 50 TK,286-349-7958, --, --, --
911-267-3646,Quan 66 (-5) 2$,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,57","US$0,57", --,OK 8,188-599-3543, --, --, --
138-386-0621,Account_47_13:04,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,01","US$0,01", --,OK,169-880-2531, --, --, --
283-214-3258,Account_14_10:18,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC 50 TK Hoàng,620-496-2354, --, --, --
189-535-5978,Account_69_15:51,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,TOM 1,703-402-8666, --, --, --
471-072-4350,Account_32_08:51,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC 50TK DAVILA,993-528-5558, --, --, --
393-879-4419,Account_48_13:05,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,01","US$0,01", --,OK,169-880-2531, --, --, --
330-099-7923,Account_68_11:25,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,DOGS 1,952-559-9586, --, --, --
535-526-1800,Account_72_09:14,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LIE 8 LUCKY,357-713-6860, --, --, --
136-759-8358,Account_42_08:57,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC 50 TK HOÀNG,187-719-3803, --, --, --
138-551-2762,Account_22_16:07,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,27","US$0,27", --,LYLY 1,606-596-8084, --, --, --
978-108-9088,Account_97_16:05,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,OK 9,588-173-4213, --, --, --
581-654-9917,xtd-19,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"4,49","US$4,49", --,BLUM 1,665-398-6627, --, --, --
234-299-6692,Thắng XTD VIP25,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,96","US$0,96", --,MCC_US_USD XTD 55% T11 03,392-194-2982, --, --, --
889-868-5266,Account_9_14:29,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,I LOVE GOOGLE 1,345-512-8193, --, --, --
