Mã khách hàng,Tài khoản,Trạng thái xác minh,Pause date,Mã đơn vị tiền tệ,Spend (last 7 days),Spend(last 7 days) (Converted currency),Hồ sơ thanh toán,Người quản lý trực tiếp,Mã khách hàng của người quản lý trực tiếp,Ad disclosure name,Ad disclosure country,Verification type
931-144-7597,Account_46_12:04,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,FREE,355-294-3884, --, --, --
613-997-2866,Account_15_14:28,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,HIT 1,680-505-0931, --, --, --
846-720-5629,11/12 광고 생성 완료,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCCMRBEO3,414-443-8890, --, --, --
516-371-3942,Account_46_16:55,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,HIT 1,680-505-0931, --, --, --
570-041-5058,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC MRBEO2,493-356-2599, --, --, --
263-574-6794,1104-12,Chưa bắt đầu,Không có,USD,"0,04","US$0,04", --,CAFE 2,912-637-8737, --, --, --
157-845-9307,US_USD Van 64 d,Chưa bắt đầu,Không có,USD,"0,34","US$0,34", --,MCC_US_USD 1,105-318-6986, --, --, --
244-964-1446,Account_47_16:56,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MAICO 1,971-980-0129, --, --, --
714-728-3870,US_USD-53,Chưa bắt đầu,Không có,USD,"0,99","US$0,99", --,MCC_US_USD 8,445-996-7135, --, --, --
379-159-9921,1,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,EN,400-363-4488, --, --, --
407-495-1649,Account_82_15:59,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,OK 5,383-127-7729, --, --, --
149-612-8513,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD LUKE,169-032-1492, --, --, --
850-047-9156,Xuân tóc đỏ - T11 - 25,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 2,130-716-7150, --, --, --
443-925-0617,US_USD,Chưa bắt đầu,Không có,USD,"0,62","US$0,62", --,MCC_US_USD 5 Hùng 60% XTĐ,112-636-5291, --, --, --
538-626-7533,Account_21_11:51,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,FREE,355-294-3884, --, --, --
982-631-0597,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,RAP 5,675-416-9472, --, --, --
833-446-8052,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 7,420-035-4378, --, --, --
787-006-8580,Account_55_20:14,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,XTD Chinh 60%,571-049-5280, --, --, --
726-430-1068,XuanHinh15,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 4,147-610-6142, --, --, --
182-416-9321,Account_27_10:33,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC 8386 Nga 60% XTĐ,879-624-9825, --, --, --
789-620-0176,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 7,420-035-4378, --, --, --
442-694-9891,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 7,151-719-9666, --, --, --
661-227-8398,Tu 35 (-5) 2$ ok,Chưa bắt đầu,Không có,USD,"0,35","US$0,35", --,MCC_US_USD 9 Chính 60% XTĐ,116-190-6607, --, --, --
769-757-1862,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 7,420-035-4378, --, --, --
655-316-7388,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD XTD 55% T11 01,472-472-2611, --, --, --
641-212-8452,US_USD XTD 60 T11 14,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD XTD 55% T11 01,472-472-2611, --, --, --
301-491-5011,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 3,394-514-8586, --, --, --
860-283-2321,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,RAP 3,685-606-0190, --, --, --
731-164-5672,XuanHinh21,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 4,147-610-6142, --, --, --
944-908-6743,Xi-37,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 1,125-244-4190, --, --, --
923-831-1852,Account_58_20:16,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,Tôi Yêu GG 4 Phúc 60% XTĐ,407-989-0100, --, --, --
956-275-8052,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,RAP 5,675-416-9472, --, --, --
545-048-1546,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC MRBEO2,493-356-2599, --, --, --
225-729-8260,X_39,Chưa bắt đầu,Không có,USD,"0,67","US$0,67", --,MCC_US_USD 2,105-562-7839, --, --, --
931-943-9715,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,RAP 4,392-774-7756, --, --, --
596-117-3058,Dior-11,Chưa bắt đầu,Không có,USD,"3,24","US$3,24", --,MCC_US_USD 8,114-464-3790, --, --, --
621-634-1968,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD XTD 55% T11 01,472-472-2611, --, --, --
538-048-8360,Xuân tóc đỏ - 04,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 7,113-723-7064, --, --, --
891-719-4517,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCCMRBEO3,414-443-8890, --, --, --
943-356-9694,SIM,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_NTV,290-138-8456, --, --, --
514-026-7193,A 38,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 6,149-874-4321, --, --, --
761-936-8105,XN-25,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 3,132-562-2495, --, --, --
358-195-6088,US_USD 44,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 8,156-309-0729, --, --, --
407-278-3160,US_USD,Chưa bắt đầu,Không có,USD,"0,59","US$0,59", --,MCC_US_USD 5 Hùng 60% XTĐ,112-636-5291, --, --, --
607-912-0823,Account_23_15:47,Chưa bắt đầu,Không có,USD,"0,09","US$0,09", --,BLUM 3,191-861-1701, --, --, --
922-560-1637,Xi-17,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 1,125-244-4190, --, --, --
672-737-4878,Xuan_Long 05,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 4,147-610-6142, --, --, --
934-664-0899,Account_42_21:43,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,XTD Chinh 60%,571-049-5280, --, --, --
632-899-7595,Dinh 18,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 5,149-505-5143, --, --, --
907-694-6029,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCCMRBEO3,414-443-8890, --, --, --
339-913-0429,14/11 Russia 50 ok,Chưa bắt đầu,Không có,USD,"1,83","US$1,83", --,MCC_US_USD 3 Sáng 60% XTĐ,110-599-1119, --, --, --
825-894-3464,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 7,420-035-4378, --, --, --
156-582-0017,Account_1_13:37,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,HIT 1,680-505-0931, --, --, --
954-139-0895,Xi-52,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 1,125-244-4190, --, --, --
260-161-9303,X-03,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 9,166-768-3313, --, --, --
388-960-0027,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 4,111-997-4247, --, --, --
144-276-9254,DIẾN 1004 = 22%,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,LIE 9 A.Tùng Mừng Em Chở Về,727-844-1244, --, --, --
474-319-0245,Account_46_13:33,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,CAFE 4,601-118-1698, --, --, --
600-666-5035,Dior-16,Chưa bắt đầu,Không có,USD,"0,74","US$0,74", --,MCC_US_USD 8,114-464-3790, --, --, --
421-714-5288,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,EN,400-363-4488, --, --, --
201-354-4898,Account_10_13:43,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,HIT 1,680-505-0931, --, --, --
110-534-7096,US_USD Van 09,Chưa bắt đầu,Không có,USD,"0,45","US$0,45", --,MCC_US_USD 1,105-318-6986, --, --, --
411-018-1833,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 7,151-719-9666, --, --, --
359-130-5286,GAO Ồ 523,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC 50TK LUKE,135-972-2564, --, --, --
390-880-8150,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 4,111-997-4247, --, --, --
794-252-9098,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 7,420-035-4378, --, --, --
688-793-8747,XuanHai-01,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 4,147-610-6142, --, --, --
217-485-0199,P17,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 2,381-205-7317, --, --, --
587-161-6166,Account_52_20:13,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,XTD Chinh 60%,571-049-5280, --, --, --
888-040-9601,Account_17_14:29,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,HIT 1,680-505-0931, --, --, --
401-668-8935,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,EN,400-363-4488, --, --, --
852-225-9584,Xuân tóc đỏ - T11 - 28,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 2,130-716-7150, --, --, --
550-763-4956,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC MRBEO2,493-356-2599, --, --, --
236-739-4819,Account_48_14:36,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,HAM 6,869-228-1401, --, --, --
945-423-7974,Xi-39,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 1,125-244-4190, --, --, --
249-965-7660,GAO Ồ 523,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC 50TK LUKE,135-972-2564, --, --, --
283-239-3868,US_USD 2$,Chưa bắt đầu,Không có,USD,"0,34","US$0,34", --,MCC_US_USD 3 Sáng 60% XTĐ,110-599-1119, --, --, --
881-834-5172,Xuân tóc đỏ - T11 - 64,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 2,130-716-7150, --, --, --
422-877-4564,Account_28_13:55,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,ANTAY 1,252-804-6637, --, --, --
379-559-7397,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,EN,400-363-4488, --, --, --
815-909-4513,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 7,420-035-4378, --, --, --
983-599-1733,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,RAP 5,675-416-9472, --, --, --
792-411-5360,Account_1_11:32,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,ANTAY 1,252-804-6637, --, --, --
557-485-6294,Bơ 8,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 5,149-505-5143, --, --, --
134-414-9713,US_USD Van 37,Chưa bắt đầu,Không có,USD,"0,44","US$0,44", --,MCC_US_USD 1,105-318-6986, --, --, --
597-328-0862,Account_6_16:32,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,Tôi Yêu GG 4 Phúc 60% XTĐ,407-989-0100, --, --, --
662-506-0486,US_USD-01,Chưa bắt đầu,Không có,USD,"1,00","US$1,00", --,MCC_US_USD 8,445-996-7135, --, --, --
278-019-4037,2,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 3,394-514-8586, --, --, --
385-371-7313,US_USD 81,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 8,156-309-0729, --, --, --
823-241-2782,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,RAP 2,261-652-8333, --, --, --
767-978-1341,Account_6_13:40,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,HIT 1,680-505-0931, --, --, --
967-061-2358,Account_12_11:22,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,LIE 767 LUKE,286-845-2545, --, --, --
919-540-4474,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,RAP 4,392-774-7756, --, --, --
922-987-0529,11/12 광고 생성 완료,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCCMRBEO3,414-443-8890, --, --, --
391-637-7537,US_USD 93,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 8,156-309-0729, --, --, --
225-946-3915,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD LUKE,169-032-1492, --, --, --
436-345-4613,Account_40_21:42,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,XTD Chinh 60%,571-049-5280, --, --, --
288-821-4786,US_USD 16,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 3,394-514-8586, --, --, --
108-054-7044,Account_16_15:27,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,OK 5,383-127-7729, --, --, --
679-128-3427,Account_9_15:00,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,Tôi Yêu GG 3 Sáng 60% XTĐ,721-546-1311, --, --, --
818-650-9425,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 7,420-035-4378, --, --, --
529-062-3170,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC MRBEO2,493-356-2599, --, --, --
352-684-4445,6,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,EN,400-363-4488, --, --, --
689-060-7513,US_USD,Chưa bắt đầu,Không có,USD,"0,49","US$0,49", --,MCC_US_USD 10,117-344-8882, --, --, --
544-683-7762,Xuân tóc đỏ - 10,Chưa bắt đầu,Không có,USD,"0,04","US$0,04", --,MCC_US_USD 7,113-723-7064, --, --, --
125-144-1745,Account_34_14:29,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,HAM 6,869-228-1401, --, --, --
652-556-2388,TU 83 (-5) 2$,Chưa bắt đầu,Không có,USD,"0,85","US$0,85", --,OK 8,188-599-3543, --, --, --
847-990-5441,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,RAP 3,685-606-0190, --, --, --
775-681-2433,US_USD Viên26,Chưa bắt đầu,Không có,USD,"0,56","US$0,56", --,RAP 1,911-647-3535, --, --, --
567-111-4419,Xuân tóc đỏ - 36,Chưa bắt đầu,Không có,USD,"0,01","US$0,01", --,MCC_US_USD 7,113-723-7064, --, --, --
856-612-4956,11/12 광고 생성 완료,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCCMRBEO3,414-443-8890, --, --, --
952-019-2072,US_USD K23,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_U,231-275-4200, --, --, --
737-809-1535,US_USD-88,Chưa bắt đầu,Không có,USD,"0,99","US$0,99", --,MCC_US_USD 8,445-996-7135, --, --, --
575-862-9544,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC MRBEO2,493-356-2599, --, --, --
466-752-5693,CKTHU_44,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MAICO 2,363-948-0209, --, --, --
183-606-5288,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD LUKE,169-032-1492, --, --, --
789-729-6243,XN-54,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 3,132-562-2495, --, --, --
456-230-8949,DAT44,Chưa bắt đầu,Không có,USD,"0,48","US$0,48", --,MCC_US_USD 5 Hùng 60% XTĐ,112-636-5291, --, --, --
824-187-8299,Account_22_09:41,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,LIE 767 LUKE,286-845-2545, --, --, --
289-543-2372,Account_2_10:01,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC 8386 Nga 60% XTĐ,879-624-9825, --, --, --
113-171-1335,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 1,374-402-1731, --, --, --
342-646-1174,US_USD 32,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 8,156-309-0729, --, --, --
215-896-5268,Quan 39 (-5),Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,XTD Chinh 60%,571-049-5280, --, --, --
328-432-8062,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 3,394-514-8586, --, --, --
159-008-5749,US_USD Van 67,Chưa bắt đầu,Không có,USD,"0,37","US$0,37", --,MCC_US_USD 1,105-318-6986, --, --, --
789-686-2166,US_USD Viên37,Chưa bắt đầu,Không có,USD,"1,76","US$1,76", --,RAP 1,911-647-3535, --, --, --
678-464-7446,US_USD T,Chưa bắt đầu,Không có,USD,"0,82","US$0,82", --,MCC_US_USD 10,117-344-8882, --, --, --
889-419-8864,Xuân tóc đỏ - T11 - 76,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 2,130-716-7150, --, --, --
185-857-7688,X_01,Chưa bắt đầu,Không có,USD,"15,43","US$15,43", --,MCC_US_USD 2,105-562-7839, --, --, --
388-875-0788,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,EN,400-363-4488, --, --, --
387-276-0884,US_USD 86,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 8,156-309-0729, --, --, --
583-919-8499,Account_19_09:59,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,LIE 767 LUKE,286-845-2545, --, --, --
482-097-7897,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCCmrbeo1,401-832-6891, --, --, --
858-901-1854,Xuân tóc đỏ - T11 - 39,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 2,130-716-7150, --, --, --
511-573-2884,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC MRBEO2,493-356-2599, --, --, --
800-222-1713,Account_4_16:07,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,YES,390-291-6435, --, --, --
220-365-7182,X_34,Chưa bắt đầu,Không có,USD,"0,55","US$0,55", --,MCC_US_USD 2,105-562-7839, --, --, --
604-615-3703,Account_5_15:11,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,OK 4,334-925-1345, --, --, --
759-714-3197,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 7,420-035-4378, --, --, --
198-473-6972,X_18,Chưa bắt đầu,Không có,USD,"0,59","US$0,59", --,MCC_US_USD 2,105-562-7839, --, --, --
187-211-4445,X_03,Chưa bắt đầu,Không có,USD,"5,42","US$5,42", --,MCC_US_USD 2,105-562-7839, --, --, --
640-490-2354,Quan 14 (-5) 2$ OK,Chưa bắt đầu,Không có,USD,"145,12","US$145,12", --,MCC_US_USD 9 Chính 60% XTĐ,116-190-6607, --, --, --
876-356-2633,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCCMRBEO3,414-443-8890, --, --, --
278-698-2276,X-08,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 9,166-768-3313, --, --, --
137-002-0296,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 1,374-402-1731, --, --, --
545-030-2809,Account_51_20:12,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,Tôi Yêu GG 4 Phúc 60% XTĐ,407-989-0100, --, --, --
409-227-1211,Account_5_22:11,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,Tôi Yêu GG 4 Phúc 60% XTĐ,407-989-0100, --, --, --
967-831-5088,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_U,231-275-4200, --, --, --
709-270-0874,US_USD-44,Chưa bắt đầu,Không có,USD,"1,00","US$1,00", --,MCC_US_USD 8,445-996-7135, --, --, --
379-190-8219,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,EN,400-363-4488, --, --, --
963-028-7688,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_U,231-275-4200, --, --, --
618-159-2203,US_USD XTD 60 T11 28,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD XTD 55% T11 01,472-472-2611, --, --, --
660-069-9241,Tu 33 (-5) 2$,Chưa bắt đầu,Không có,USD,"0,78","US$0,78", --,MCC_US_USD 9 Chính 60% XTĐ,116-190-6607, --, --, --
295-317-2117,Xuan_Lanh 13,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 9,166-768-3313, --, --, --
239-597-8619,P31,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 2,381-205-7317, --, --, --
619-942-0549,Dinh 9,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 5,149-505-5143, --, --, --
804-393-5615,Account_12_15:25,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,OK 4,334-925-1345, --, --, --
366-455-8298,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 4,111-997-4247, --, --, --
749-028-8497,US_USD-97,Chưa bắt đầu,Không có,USD,"1,00","US$1,00", --,MCC_US_USD 8,445-996-7135, --, --, --
383-788-3449,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,EN,400-363-4488, --, --, --
386-278-5635,US_USD,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,EN,400-363-4488, --, --, --
789-695-5788,Account_19_13:19,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,CAFE 4,601-118-1698, --, --, --
262-730-2637,XTD-02,Chưa bắt đầu,Không có,USD,"0,00","US$0,00", --,MCC_US_USD 9,166-768-3313, --, --, --
293-924-8568,US_USD 2$,Chưa bắt đầu,Không có,USD,"1,07","US$1,07", --,MCC_US_USD 3 Sáng 60% XTĐ,110-599-1119, --, --, --
